tower_id,lon,lat,radio,dist_water_m,hand_m,slope_deg,tri,flash_density,dist_power_m,age_years,exposed_pop,anonymous_operator,source_node,technologies_observed,measurement_count,session_count,first_observed,last_observed,median_signal_level,median_gps_accuracy_m,elevation_m,exposure_definition,flash_density_status,age_status,tower_source,terrain_source,hand_source,water_power_source,population_source
SUNWAY_OPERATOR_A_64502,101.6038916,3.0604026,NR,93.71859573287072,0.0,10.146864220578289,15.398009260068354,,680.9097158851147,,5832.53,Operator A,64502,4G|5G,4,2,2024.12.10_12.38.45,2025.03.06_12.06.51,-97.0,8.0,1.7915267,WorldPop 2025 total in 1 km square centered on site,not_used_coarser_than_aoi_and_login_required,unknown_not_imputed,10.17632/dx5xyyfz2y.1,cop-dem-glo-30/Copernicus_DSM_COG_10_N03_00_E101_00_DEM,ASF GLO-30 HAND v1,OpenStreetMap contributors / ODbL,WorldPop R2025A 2025 100m
SUNWAY_OPERATOR_A_701684,101.6107273,3.07073902,NR,308.66111521610605,1.324341774,2.8623209682180843,3.1496735009709473,,501.70791851017174,,7589.42,Operator A,701684,4G|5G,1544,9,2024.12.03_15.58.13,2025.03.20_13.31.37,-87.0,8.0,19.679026,WorldPop 2025 total in 1 km square centered on site,not_used_coarser_than_aoi_and_login_required,unknown_not_imputed,10.17632/dx5xyyfz2y.1,cop-dem-glo-30/Copernicus_DSM_COG_10_N03_00_E101_00_DEM,ASF GLO-30 HAND v1,OpenStreetMap contributors / ODbL,WorldPop R2025A 2025 100m
SUNWAY_OPERATOR_A_701688,101.6025813,3.06998171,NR,389.74308109663644,0.256157488,3.6873945614719257,6.924013856764976,,416.86021258837997,,7190.39,Operator A,701688,4G|5G,225,7,2024.12.04_12.15.17,2025.02.20_12.18.47,-84.0,6.0,19.462442,WorldPop 2025 total in 1 km square centered on site,not_used_coarser_than_aoi_and_login_required,unknown_not_imputed,10.17632/dx5xyyfz2y.1,cop-dem-glo-30/Copernicus_DSM_COG_10_N03_00_E101_00_DEM,ASF GLO-30 HAND v1,OpenStreetMap contributors / ODbL,WorldPop R2025A 2025 100m
SUNWAY_OPERATOR_A_701753,101.6106956,3.06652472,NR,272.8721228534028,0.00028,5.220311521299938,15.978066105232305,,758.9207759791477,,8059.36,Operator A,701753,4G|5G,177,4,2024.12.31_12.14.18,2025.03.06_11.56.24,-93.0,6.0,20.747679,WorldPop 2025 total in 1 km square centered on site,not_used_coarser_than_aoi_and_login_required,unknown_not_imputed,10.17632/dx5xyyfz2y.1,cop-dem-glo-30/Copernicus_DSM_COG_10_N03_00_E101_00_DEM,ASF GLO-30 HAND v1,OpenStreetMap contributors / ODbL,WorldPop R2025A 2025 100m
SUNWAY_OPERATOR_A_701775,101.6027111,3.07277511,NR,356.5093726141213,1.119623423,2.1215741289071453,3.636194368461824,,131.37993837448846,,7987.63,Operator A,701775,4G|5G,88,3,2024.12.12_12.26.41,2025.02.20_12.14.21,-83.0,4.0,19.97214,WorldPop 2025 total in 1 km square centered on site,not_used_coarser_than_aoi_and_login_required,unknown_not_imputed,10.17632/dx5xyyfz2y.1,cop-dem-glo-30/Copernicus_DSM_COG_10_N03_00_E101_00_DEM,ASF GLO-30 HAND v1,OpenStreetMap contributors / ODbL,WorldPop R2025A 2025 100m
SUNWAY_OPERATOR_A_701796,101.6047775,3.07315645,NR,320.91522007269526,7e-05,2.014305824881669,4.146506243962917,,317.7472881200115,,7887.9,Operator A,701796,4G|5G,134,3,2024.12.12_12.28.54,2025.02.20_12.11.54,-91.5,8.0,19.747818,WorldPop 2025 total in 1 km square centered on site,not_used_coarser_than_aoi_and_login_required,unknown_not_imputed,10.17632/dx5xyyfz2y.1,cop-dem-glo-30/Copernicus_DSM_COG_10_N03_00_E101_00_DEM,ASF GLO-30 HAND v1,OpenStreetMap contributors / ODbL,WorldPop R2025A 2025 100m
SUNWAY_OPERATOR_A_701806,101.6101976,3.07598075,NR,383.63825069752494,2.179637671,4.588981914750556,5.86841364508085,,17.319003995829355,,7838.99,Operator A,701806,4G|5G,710,11,2024.12.03_16.07.28,2025.03.20_13.21.43,-87.0,6.0,21.09223,WorldPop 2025 total in 1 km square centered on site,not_used_coarser_than_aoi_and_login_required,unknown_not_imputed,10.17632/dx5xyyfz2y.1,cop-dem-glo-30/Copernicus_DSM_COG_10_N03_00_E101_00_DEM,ASF GLO-30 HAND v1,OpenStreetMap contributors / ODbL,WorldPop R2025A 2025 100m
SUNWAY_OPERATOR_A_701866,101.5980033,3.06161728,NR,102.01904756921894,1.677021265,2.1152113117929803,5.983679865739446,,852.6593146430664,,6541.7,Operator A,701866,5G,3,1,2025.03.06_11.51.18,2025.03.06_11.51.20,-96.0,11.0,17.350782,WorldPop 2025 total in 1 km square centered on site,not_used_coarser_than_aoi_and_login_required,unknown_not_imputed,10.17632/dx5xyyfz2y.1,cop-dem-glo-30/Copernicus_DSM_COG_10_N03_00_E101_00_DEM,ASF GLO-30 HAND v1,OpenStreetMap contributors / ODbL,WorldPop R2025A 2025 100m
SUNWAY_OPERATOR_A_701872,101.61202,3.0789034899999996,NR,433.90549262607095,0.68147999,3.475534314288133,5.575848976995154,,115.66355753030766,,7369.85,Operator A,701872,4G|5G,53,4,2024.12.31_12.06.32,2025.03.06_12.00.42,-95.0,8.0,20.904108,WorldPop 2025 total in 1 km square centered on site,not_used_coarser_than_aoi_and_login_required,unknown_not_imputed,10.17632/dx5xyyfz2y.1,cop-dem-glo-30/Copernicus_DSM_COG_10_N03_00_E101_00_DEM,ASF GLO-30 HAND v1,OpenStreetMap contributors / ODbL,WorldPop R2025A 2025 100m
SUNWAY_OPERATOR_A_701888,101.6107861,3.0789034899999996,NR,296.8978620827921,8.381466866,1.5919766767862567,6.256785378411668,,147.41182942612826,,8036.44,Operator A,701888,4G|5G,79,4,2024.12.31_12.09.32,2025.03.06_12.00.03,-90.0,8.0,27.688343,WorldPop 2025 total in 1 km square centered on site,not_used_coarser_than_aoi_and_login_required,unknown_not_imputed,10.17632/dx5xyyfz2y.1,cop-dem-glo-30/Copernicus_DSM_COG_10_N03_00_E101_00_DEM,ASF GLO-30 HAND v1,OpenStreetMap contributors / ODbL,WorldPop R2025A 2025 100m
