tower_id,anonymous_operator,source_node,lon,lat,radio,technologies_observed,measurement_count,session_count,first_observed,last_observed,median_signal_level,median_gps_accuracy_m
SUNWAY_OPERATOR_B_702023,Operator B,702023,101.5966828,3.06167319,NR,4G|5G,687,4,2024.12.31_11.00.03,2025.03.06_11.45.01,-91.0,8.0
SUNWAY_OPERATOR_B_702044,Operator B,702044,101.598582,3.06234283,NR,4G|5G,60,4,2024.12.31_11.00.14,2025.03.06_11.45.54,-100.0,6.0
SUNWAY_OPERATOR_B_702063,Operator B,702063,101.6078638,3.06221024,NR,4G|5G,112,5,2024.12.10_11.37.07,2025.03.20_14.02.06,-95.0,6.0
SUNWAY_OPERATOR_B_702072,Operator B,702072,101.6016286,3.06529604,NR,4G|5G,1236,11,2024.12.04_11.37.38,2025.03.06_11.42.40,-88.0,6.0
SUNWAY_OPERATOR_B_702109,Operator B,702109,101.6083034,3.07346582,NR,4G|5G,176,4,2025.02.14_11.09.04,2025.03.20_14.06.54,-92.0,8.0
SUNWAY_OPERATOR_B_702144,Operator B,702144,101.5925761,3.057131570000001,NR,5G,6,1,2025.03.06_11.45.43,2025.03.06_11.45.50,-82.5,8.0
SUNWAY_OPERATOR_B_702175,Operator B,702175,101.5939926,3.05783385,NR,4G|5G,76,5,2024.12.10_12.06.15,2025.03.06_11.45.13,-96.0,6.0
SUNWAY_OPERATOR_C_701684,Operator C,701684,101.6107273,3.07073902,NR,4G|5G,1458,9,2024.12.03_11.45.19,2025.03.20_12.47.25,-86.0,6.0
SUNWAY_OPERATOR_C_701688,Operator C,701688,101.6025813,3.06998171,NR,4G|5G,187,8,2024.12.03_11.30.28,2025.02.14_11.53.32,-85.0,6.0
SUNWAY_OPERATOR_C_701753,Operator C,701753,101.6106956,3.06652472,NR,4G|5G,107,4,2024.12.31_11.36.26,2025.03.06_12.27.21,-90.0,6.0
SUNWAY_OPERATOR_C_701775,Operator C,701775,101.6027111,3.07277511,NR,4G|5G,51,2,2024.12.12_12.04.36,2025.01.07_10.50.14,-81.0,4.0
SUNWAY_OPERATOR_C_701796,Operator C,701796,101.6047775,3.07315645,NR,4G|5G,134,2,2024.12.12_11.58.09,2025.01.07_10.56.47,-92.0,8.0
SUNWAY_OPERATOR_C_701806,Operator C,701806,101.6101976,3.07598075,NR,4G|5G,634,11,2024.12.03_11.54.19,2025.03.20_12.43.49,-85.0,6.0
SUNWAY_OPERATOR_C_701866,Operator C,701866,101.5980033,3.06161728,NR,5G,2,1,2024.12.31_11.50.51,2024.12.31_11.50.52,-104.5,6.0
SUNWAY_OPERATOR_C_701872,Operator C,701872,101.61202,3.0789034899999996,NR,4G|5G,61,4,2024.12.31_11.28.14,2025.03.06_12.32.26,-93.0,6.0
SUNWAY_OPERATOR_C_701888,Operator C,701888,101.6107861,3.0789034899999996,NR,4G|5G,92,4,2024.12.31_11.32.15,2025.03.06_12.32.00,-89.0,6.0
SUNWAY_OPERATOR_C_701895,Operator C,701895,101.6123955,3.0789034899999996,NR,4G|5G,182,4,2024.12.31_11.28.12,2025.03.06_12.33.46,-96.0,8.0
SUNWAY_OPERATOR_C_701905,Operator C,701905,101.6055148,3.07049259,NR,4G|5G,2078,16,2024.12.03_11.31.23,2025.04.02_14.30.31,-90.0,6.0
SUNWAY_OPERATOR_C_701911,Operator C,701911,101.6087852,3.06551172,NR,4G|5G,1004,10,2024.12.04_11.47.40,2025.03.20_12.53.32,-81.0,11.0
SUNWAY_OPERATOR_C_701934,Operator C,701934,101.5940968,3.05714478,NR,4G|5G,24,3,2024.12.31_11.43.06,2025.03.06_12.16.11,-105.0,3.0
SUNWAY_OPERATOR_C_701949,Operator C,701949,101.5921127,3.057131570000001,NR,4G|5G,12,3,2024.12.31_11.48.12,2025.03.06_12.18.40,-103.0,6.0
SUNWAY_OPERATOR_C_701997,Operator C,701997,101.5981089,3.06166221,NR,4G|5G,58,6,2024.12.10_13.12.21,2025.03.06_12.22.25,-95.0,6.0
SUNWAY_OPERATOR_C_702000,Operator C,702000,101.5986784,3.06399857,NR,4G|5G,46,4,2024.12.31_11.40.33,2025.03.06_12.12.57,-95.0,6.0
SUNWAY_OPERATOR_C_702010,Operator C,702010,101.5941521,3.057131570000001,NR,4G|5G,161,4,2024.12.31_11.43.17,2025.03.06_12.17.09,-101.0,6.0
SUNWAY_OPERATOR_C_702023,Operator C,702023,101.5966828,3.06167319,NR,4G|5G,613,6,2024.12.10_13.12.31,2025.03.20_13.08.06,-90.0,8.0
SUNWAY_OPERATOR_C_702044,Operator C,702044,101.598582,3.06234283,NR,4G|5G,36,4,2024.12.31_11.43.44,2025.03.06_12.13.18,-100.5,8.0
SUNWAY_OPERATOR_C_702063,Operator C,702063,101.6078638,3.06221024,NR,4G|5G,193,4,2024.12.10_12.52.21,2025.03.20_13.03.56,-100.0,8.0
SUNWAY_OPERATOR_C_702072,Operator C,702072,101.6016286,3.06529604,NR,4G|5G,1625,11,2024.12.03_11.30.19,2025.03.20_13.10.06,-86.0,6.0
SUNWAY_OPERATOR_C_702109,Operator C,702109,101.6083034,3.07346582,NR,4G|5G,163,3,2025.02.14_11.40.26,2025.03.20_12.44.10,-89.0,6.0
SUNWAY_OPERATOR_C_702144,Operator C,702144,101.5925761,3.057131570000001,LTE,4G,2,1,2025.01.16_14.07.18,2025.01.16_14.07.18,-94.5,11.0
SUNWAY_OPERATOR_C_702175,Operator C,702175,101.5939926,3.05783385,NR,4G|5G,54,5,2024.12.10_13.13.23,2025.03.06_12.19.42,-100.0,8.0
