node,SessionID,n_measurements,median_level_dbm,median_snr,median_cqi,link_distance_m,median_speed_kmh,network_tech,operator,lon,lat,hand_m,slope_deg,tri,dist_water_m,dist_power_m,physical_site_group,session_ts
701684,18,140,-84.0,2.0,10.0,109.67835789954052,33.0,5G,Operator C,101.6107273,3.07073902,1.324341774,2.8623209682180843,3.1496735009709473,308.66111521610605,501.70791851017174,701684,2025-03-06T12:04:54Z
701684,19,321,-94.0,5.0,10.0,200.18962797819972,16.0,5G,Operator C,101.6107273,3.07073902,1.324341774,2.8623209682180843,3.1496735009709473,308.66111521610605,501.70791851017174,701684,2025-03-20T12:37:38Z
701684,20,83,-85.0,3.0,11.0,51.29658630810325,35.0,5G,Operator A,101.6107273,3.07073902,1.324341774,2.8623209682180843,3.1496735009709473,308.66111521610605,501.70791851017174,701684,2025-03-06T11:56:25Z
701684,22,388,-91.0,4.0,9.0,196.15956043605092,12.0,5G,Operator A,101.6107273,3.07073902,1.324341774,2.8623209682180843,3.1496735009709473,308.66111521610605,501.70791851017174,701684,2025-03-20T13:16:39Z
701688,1,10,-86.5,-4.5,10.0,329.9782868172589,0.5,4G,Operator C,101.6025813,3.06998171,0.256157488,3.6873945614719257,6.924013856764976,389.7430810966365,416.86021258838,701688,2024-12-03T11:30:28Z
701688,2,1,-90.0,0.0,6.0,500.1834894005972,3.0,5G,Operator B,101.6025813,3.06998171,0.256157488,3.6873945614719257,6.924013856764976,389.7430810966365,416.86021258838,701688,2024-12-04T12:29:51Z
701688,3,13,-101.0,-8.0,6.0,849.9193887935068,32.0,4G,Operator B,101.6025813,3.06998171,0.256157488,3.6873945614719257,6.924013856764976,389.7430810966365,416.86021258838,701688,2024-12-04T11:47:49Z
701688,4,4,-94.5,-8.5,7.5,607.0031676472995,15.0,4G,Operator A,101.6025813,3.06998171,0.256157488,3.6873945614719257,6.924013856764976,389.7430810966365,416.86021258838,701688,2024-12-04T12:15:17Z
701688,5,177,-83.0,0.0,10.0,120.75546624379146,4.0,5G,Operator B,101.6025813,3.06998171,0.256157488,3.6873945614719257,6.924013856764976,389.7430810966365,416.86021258838,701688,2024-12-10T12:37:33Z
701688,7,66,-87.0,1.0,9.5,112.6855783842165,4.0,5G,Operator A,101.6025813,3.06998171,0.256157488,3.6873945614719257,6.924013856764976,389.7430810966365,416.86021258838,701688,2024-12-12T12:18:07Z
701688,9,60,-89.0,-1.0,7.0,534.0105770298499,36.0,5G,Operator B,101.6025813,3.06998171,0.256157488,3.6873945614719257,6.924013856764976,389.7430810966365,416.86021258838,701688,2024-12-31T10:57:52Z
701688,10,195,-91.0,0.0,9.0,189.689759522606,3.0,5G,Operator B,101.6025813,3.06998171,0.256157488,3.6873945614719257,6.924013856764976,389.7430810966365,416.86021258838,701688,2025-01-07T09:52:56Z
