tower_id,evi_median,evi_p10,soil_moisture_mean,soil_moisture_p90,clay_pct,land_cover_class,gsw_occurrence_pct,gsw_recurrence_pct,land_cover_label
MY_N12137024409,0.4192926445315842,0.3048788758058421,0.3562121093273163,0.3797621726989746,29.0,30.0,0.0,0.0,Grassland
MY_N13015606465,0.3785660453916258,0.3052481256694038,0.3562121093273163,0.3797621726989746,29.0,30.0,0.0,0.0,Grassland
MY_N12137013096,0.4234380497733783,0.2672284436119386,0.3562121093273163,0.3797621726989746,31.0,30.0,0.0,0.0,Grassland
MY_N13015606468,0.3476717661784185,0.22648945150153976,0.3562121093273163,0.3797621726989746,28.0,30.0,0.0,0.0,Grassland
MY_N12137024402,0.31049935979513443,0.184344866704481,0.3562121093273163,0.3797621726989746,31.0,30.0,0.0,0.0,Grassland
MY_N7838524104,0.40524308278865306,0.277486251626716,0.3538391590118408,0.3793730139732361,33.0,10.0,0.0,0.0,Tree cover
MY_N12137024406,0.4393455828297632,0.2802589669020911,0.3562121093273163,0.3797621726989746,29.0,30.0,0.0,0.0,Grassland
MY_N13015606469,0.32388948012141816,0.2674422926811137,0.3562121093273163,0.3797621726989746,28.0,30.0,0.0,0.0,Grassland
MY_N12137013097,0.49086957906656864,0.4045614451544264,0.3562121093273163,0.3797621726989746,31.0,30.0,0.0,0.0,Grassland
MY_N12137024403,0.3755942256690833,0.2947566628041715,0.3562121093273163,0.3797621726989746,31.0,30.0,0.0,0.0,Grassland
MY_N13015545328,0.3353802632244559,0.19741147386024863,0.3562121093273163,0.3797621726989746,29.0,30.0,0.0,0.0,Grassland
MY_N13015606470,0.3986605007175889,0.2266328051675592,0.3562121093273163,0.3797621726989746,29.0,30.0,0.0,0.0,Grassland
MY_N12137013080,0.35271155271975896,0.13199321869702105,0.3562121093273163,0.3797621726989746,26.0,30.0,0.0,0.0,Grassland
MY_N12137013081,0.37726820304723985,0.2663782029612602,0.3562121093273163,0.3797621726989746,26.0,30.0,0.0,0.0,Grassland
MY_N12137013082,0.3264778601933019,0.1617615234797663,0.3562121093273163,0.3797621726989746,28.0,30.0,0.0,0.0,Grassland
MY_N12137013083,0.24371039330968125,0.20404548381549226,0.3562121093273163,0.3797621726989746,28.0,30.0,0.0,0.0,Grassland
MY_N12137013098,0.45903049380330474,0.29304226025916436,0.3562121093273163,0.3797621726989746,31.0,30.0,0.0,0.0,Grassland
MY_N12137013084,0.34153035141023125,0.2521983819908547,0.3562121093273163,0.3797621726989746,28.0,30.0,0.0,0.0,Grassland
MY_N12137024404,0.35655205399185697,0.2671489645368949,0.3562121093273163,0.3797621726989746,31.0,30.0,0.0,0.0,Grassland
MY_N12137013088,0.45562995459093364,0.24271338443088802,0.3562121093273163,0.3797621726989746,29.0,30.0,0.0,0.0,Grassland
MY_N12137024405,0.33345973807364515,0.23732214520248082,0.3562121093273163,0.3797621726989746,29.0,30.0,0.0,0.0,Grassland
MY_N12137013087,0.3202260388971821,0.22957309084754157,0.3562121093273163,0.3797621726989746,29.0,30.0,0.0,0.0,Grassland
MY_N12137013085,0.39623254021639254,0.2881561482695698,0.3562121093273163,0.3797621726989746,28.0,30.0,0.0,0.0,Grassland
MY_N13015545327,0.4713559195273353,0.2593537414965987,0.3562121093273163,0.3797621726989746,31.0,30.0,0.0,0.0,Grassland
MY_N12137013086,0.42980494950273695,0.2998568785562188,0.3562121093273163,0.3797621726989746,27.0,30.0,0.0,0.0,Grassland
MY_N7838524095,0.3162017977406223,0.24889482493905235,0.3538391590118408,0.3793730139732361,28.0,10.0,0.0,0.0,Tree cover
MY_N8214146544,0.34202498850862895,0.23605059435678327,0.3839753568172455,0.48100829124450684,25.0,10.0,0.0,0.0,Tree cover
MY_N10943434976,0.12318205520604383,0.03281075120174387,0.34565505385398865,0.37078315019607544,30.0,50.0,0.0,0.0,Built-up
MY_W545795646,0.23097527774118473,0.11379215793803127,0.3519119918346405,0.3765316605567932,28.0,10.0,0.0,0.0,Tree cover
MY_W694482621,0.16876179951190312,0.09386382740263376,0.3519119918346405,0.3765316605567932,28.0,10.0,0.0,0.0,Tree cover
MY_N3902995337,0.31345805534295723,0.2079646017699115,0.3283684551715851,0.3791576623916626,26.0,10.0,0.0,0.0,Tree cover
MY_W694495534,0.13109885447602884,0.09363811622142658,0.3519119918346405,0.3765316605567932,28.0,10.0,0.0,0.0,Tree cover
MY_N12169092717,0.21181001283697046,0.14849219786756968,0.3474985957145691,0.37080711126327515,27.0,50.0,0.0,0.0,Built-up
MY_N10991780746,0.29511642949547223,0.25831485587583153,0.34565505385398865,0.37078315019607544,30.0,10.0,0.0,0.0,Tree cover
MY_N13474572720,0.1864296722951097,0.1492423665575269,0.3474985957145691,0.37080711126327515,30.0,50.0,0.0,0.0,Built-up
MY_N9944968255,0.217097123414785,0.17538081515026765,0.3457862436771393,0.370626837015152,29.0,10.0,0.0,0.0,Tree cover
MY_N1945539635,0.5184232976878986,0.29234023266354414,0.3457862436771393,0.370626837015152,32.0,10.0,0.0,0.0,Tree cover
MY_N12030488094,0.44247022723794593,0.37505880340418246,0.3283684551715851,0.3791576623916626,28.0,10.0,0.0,0.0,Tree cover
MY_N8063350945,0.677868126158741,0.5761069591016638,0.29535552859306335,0.3709259033203125,23.0,10.0,0.0,0.0,Tree cover
MY_N13845846105,0.3730868698859542,0.3037223110299154,0.3457862436771393,0.370626837015152,28.0,10.0,0.0,0.0,Tree cover
MY_N13845846092,0.3240781436919437,0.27354587490873694,0.3457862436771393,0.370626837015152,30.0,10.0,0.0,0.0,Tree cover
MY_N4200388722,0.23316962927550092,0.1685957401828656,0.3283684551715851,0.3791576623916626,26.0,10.0,0.0,0.0,Tree cover
MY_W1366117482,0.5032526174074672,0.4314649271160506,0.3457862436771393,0.370626837015152,30.0,10.0,0.0,0.0,Tree cover
MY_N6142258135,0.294394224352363,0.16509686396232473,0.3255119323730469,0.3917020261287689,26.0,10.0,0.0,0.0,Tree cover
MY_N2425808221,0.1832371625568561,0.14988332435828391,0.31794679164886475,0.3916373550891876,28.0,10.0,0.0,0.0,Tree cover
MY_N8084941767,0.32885486642712075,0.2651696129956999,0.3480640947818756,0.37245413661003113,30.0,10.0,0.0,0.0,Tree cover
MY_W1288067099,0.19869166178480768,0.16775311118202127,0.3454574644565582,0.36950793862342834,32.0,10.0,0.0,0.0,Tree cover
MY_N11257618116,0.5028752468345951,0.380523944745082,0.3466279208660126,0.37265923619270325,30.0,50.0,0.0,0.0,Built-up
MY_N11985118591,0.2538598574821853,0.19469104333304035,0.31343019008636475,0.3773476779460907,23.0,10.0,0.0,0.0,Tree cover
MY_N7848117182,0.37328094302554027,0.24867920718780495,0.3327857553958893,0.3784380257129669,29.0,10.0,0.0,0.0,Tree cover
MY_N14060840318,0.3090723096675714,0.24173277825779593,0.29119163751602173,0.3726688623428345,30.0,10.0,0.0,0.0,Tree cover
MY_N11189951508,0.2552492386600417,0.21267114963947178,0.31343019008636475,0.3773476779460907,31.0,10.0,0.0,0.0,Tree cover
MY_N11189951504,0.2836074872376631,0.23633325375984723,0.31343019008636475,0.3773476779460907,35.0,10.0,0.0,0.0,Tree cover
MY_N9126977972,0.5717834344343491,0.47300593544190594,0.29368194937705994,0.3701772093772888,29.0,10.0,0.0,0.0,Tree cover
MY_N9126977973,0.4429976506192012,0.2480705622932745,0.29368194937705994,0.3701772093772888,29.0,10.0,0.0,0.0,Tree cover
MY_N8735935858,0.3437920026881721,0.21786115673899892,0.34175387024879456,0.3677918612957001,33.0,10.0,0.0,0.0,Tree cover
MY_N8434323581,0.23639204078276602,0.17471091000502764,0.3511062264442444,0.3887995481491089,26.0,10.0,0.0,0.0,Tree cover
MY_N8434323582,0.3536390131767991,0.27718660783804827,0.3511062264442444,0.3887995481491089,26.0,10.0,0.0,0.0,Tree cover
MY_N3901579555,0.4737339529022604,0.3042505592841164,0.34216898679733276,0.3689650893211365,27.0,10.0,0.0,0.0,Tree cover
MY_W1367367946,0.5003182227557597,0.36937766982159315,0.3301612436771393,0.3540389835834503,31.0,10.0,0.0,0.0,Tree cover
MY_N5510158257,0.5521472854113129,0.46092184368737465,0.3489236533641815,0.385294109582901,27.0,10.0,0.0,0.0,Tree cover
MY_N8261057768,0.36754865800530956,0.28205778408706983,0.30481192469596863,0.34712815284729004,31.0,10.0,0.0,0.0,Tree cover
MY_N5510158263,0.4461295611811838,0.37561786262144203,0.35441040992736816,0.39018765091896057,27.0,10.0,0.0,0.0,Tree cover
MY_N5510158299,0.3186185090599538,0.23749451513821854,0.3477882444858551,0.386024534702301,27.0,10.0,0.0,0.0,Tree cover
MY_N5510158305,0.3646964140538886,0.18709651709572012,0.3477882444858551,0.386024534702301,30.0,10.0,0.0,0.0,Tree cover
MY_N3901579514,0.3398058252427184,0.2650563346032261,0.34216898679733276,0.3689650893211365,26.0,10.0,0.0,0.0,Tree cover
MY_N8259081451,0.4609372514355302,0.353774860413856,0.3118007779121399,0.3462238609790802,26.0,10.0,0.0,0.0,Tree cover
MY_N5510158307,0.6264108352144471,0.49697428139183064,0.34466788172721863,0.38399988412857056,31.0,10.0,0.0,0.0,Tree cover
MY_N9006098842,0.5104924887718755,0.4320257706736259,0.3378105163574219,0.3872408866882324,37.0,30.0,0.0,0.0,Grassland
MY_W1368598193,0.39929522676307727,0.32989690721649484,0.3301612436771393,0.3540389835834503,31.0,10.0,0.0,0.0,Tree cover
MY_N8032528770,0.3283979635031664,0.25285130191521415,0.33499109745025635,0.38314056396484375,29.0,10.0,0.0,0.0,Tree cover
MY_N5742976628,0.4990806409246126,0.3214268682340598,0.32964175939559937,0.3573472499847412,28.0,10.0,0.0,0.0,Tree cover
MY_W1368699691,0.37360675578198244,0.2551230870898975,0.32964175939559937,0.3573472499847412,28.0,10.0,0.0,0.0,Tree cover
MY_W1368623543,0.36251537342949036,0.3173241852487136,0.32964175939559937,0.3573472499847412,28.0,10.0,0.0,0.0,Tree cover
MY_N9621355555,0.3643943145270209,0.3069842262835695,0.3465753197669983,0.3849940299987793,28.0,10.0,0.0,0.0,Tree cover
MY_N11241526897,0.38583631076531655,0.31544236592144015,0.3072185814380646,0.3446592092514038,30.0,10.0,0.0,0.0,Tree cover
MY_N3273231502,0.4284745291578671,0.3149261207112447,0.3072185814380646,0.3446592092514038,34.0,10.0,0.0,0.0,Tree cover
MY_N11241526902,0.4353205221661397,0.3356239796499488,0.3072185814380646,0.3446592092514038,34.0,10.0,0.0,0.0,Tree cover
MY_N3273231509,0.1816071913237699,0.138493127723768,0.3072185814380646,0.3446592092514038,31.0,10.0,0.0,0.0,Tree cover
MY_N8752918921,0.3786253476360747,0.33789124249130564,0.3288068175315857,0.36168912053108215,38.0,10.0,0.0,0.0,Tree cover
MY_W1372701089,0.39941465094258416,0.32110912343470477,0.30214911699295044,0.33828747272491455,22.0,10.0,0.0,0.0,Tree cover
MY_N4663189043,0.32206947645703,0.24586231710242262,0.30214911699295044,0.33828747272491455,25.0,10.0,0.0,0.0,Tree cover
MY_W1381588641,0.3358614971637117,0.2518671862315311,0.30852562189102173,0.3442521095275879,29.0,10.0,0.0,0.0,Tree cover
MY_N10230277433,0.24752048296679607,0.21387506435558606,0.34606441855430603,0.39410898089408875,29.0,10.0,0.0,0.0,Tree cover
MY_N13713417878,0.4476827892135881,0.30270875135051706,0.3845556974411011,0.5109437108039856,26.0,10.0,0.0,0.0,Tree cover
MY_N8459640140,0.2714781864792539,0.23366397747204012,0.3620033860206604,0.4068240821361542,27.0,10.0,0.0,0.0,Tree cover
MY_N9038308805,0.162918519682072,0.11317960651576048,0.3845556974411011,0.5109437108039856,29.0,50.0,0.0,0.0,Built-up
MY_N13686660305,0.35093801764320665,0.26379477250726047,0.3852176368236542,0.5126771926879883,26.0,10.0,0.0,0.0,Tree cover
MY_W1533443392,0.35245310154898435,0.21680586995550696,0.29787617921829224,0.33948200941085815,29.0,10.0,0.0,0.0,Tree cover
MY_N13712401727,0.44265849560968595,0.2502097238939345,0.3845556974411011,0.5109437108039856,27.0,10.0,0.0,0.0,Tree cover
MY_N8025981358,0.3890244463882879,0.3401195669736629,0.3058759868144989,0.3491804897785187,34.0,10.0,0.0,0.0,Tree cover
MY_N8025859449,0.47577733945500683,0.3874762501515948,0.3058759868144989,0.3491804897785187,37.0,10.0,0.0,0.0,Tree cover
MY_N13663195383,0.17544582183600346,0.11268539232745046,0.3912990689277649,0.512279748916626,25.0,10.0,0.0,0.0,Tree cover
MY_N13663195381,0.09773662551440333,0.07884654164145996,0.3912990689277649,0.512279748916626,25.0,50.0,0.0,0.0,Built-up
MY_N13663195382,0.403522689837142,0.31589918514307375,0.3912990689277649,0.512279748916626,25.0,10.0,0.0,0.0,Tree cover
MY_N13663195380,0.13294758703193638,0.10102111268578075,0.3912990689277649,0.512279748916626,25.0,30.0,0.0,0.0,Grassland
MY_N4193669752,0.46040903178679515,0.3851122234781206,0.3072185814380646,0.3446592092514038,26.0,10.0,0.0,0.0,Tree cover
MY_W1383475622,0.5652535328345804,0.4818430300663803,0.2988137900829315,0.3372132480144501,31.0,10.0,0.0,0.0,Tree cover
MY_W1491528657,0.3824540803489055,0.2439024390243903,0.3912990689277649,0.512279748916626,28.0,10.0,0.0,0.0,Tree cover
MY_N8778604184,0.4841581721609457,0.37764939522930163,0.22849032282829285,0.307626873254776,27.0,10.0,0.0,0.0,Tree cover
MY_N8348937880,0.4903883876029816,0.45514620849165716,0.3397572338581085,0.3755188584327698,36.0,10.0,0.0,0.0,Tree cover
MY_N8277786902,0.3028138230738512,0.2435586068043641,0.2988137900829315,0.3372132480144501,26.0,10.0,0.0,0.0,Tree cover
MY_N13686353602,0.26500241551245723,0.23543707754234072,0.3852176368236542,0.5126771926879883,25.0,10.0,0.0,0.0,Tree cover
MY_N13678931196,0.4641312240557232,0.32444304592343964,0.3852176368236542,0.5126771926879883,29.0,10.0,0.0,0.0,Tree cover
MY_N8780937436,0.44464086758992494,0.3554718137522891,0.2969990670681,0.34424322843551636,26.0,10.0,0.0,0.0,Tree cover
MY_N8780937437,0.538597881127397,0.4321132703683115,0.2969990670681,0.34424322843551636,25.0,10.0,0.0,0.0,Tree cover
MY_N8780937438,0.22418828380003436,0.1792643833305213,0.2969990670681,0.34424322843551636,25.0,10.0,0.0,0.0,Tree cover
MY_N8025609742,0.36798149309912176,0.32885232744783305,0.3058759868144989,0.3491804897785187,37.0,10.0,0.0,0.0,Tree cover
MY_N13805621364,0.6772484488865746,0.5358818489657705,0.3519986569881439,0.3893156051635742,31.0,10.0,0.0,0.0,Tree cover
MY_N8785448481,0.39456378781236306,0.3431957532611827,0.3397572338581085,0.3755188584327698,32.0,10.0,0.0,0.0,Tree cover
MY_W823099395,0.33116325331163254,0.2832021762362771,0.22849032282829285,0.307626873254776,33.0,10.0,0.0,0.0,Tree cover
MY_W823097930,0.26463093696478557,0.21382938744832775,0.22849032282829285,0.307626873254776,28.0,10.0,0.0,0.0,Tree cover
MY_N13678930905,0.4971509971509972,0.2809409916824332,0.3852176368236542,0.5126771926879883,28.0,10.0,0.0,0.0,Tree cover
MY_W1456021260,0.3488361012313541,0.24781231140615564,0.3845556974411011,0.5109437108039856,31.0,10.0,0.0,0.0,Tree cover
MY_N13686353632,0.1811813128440446,0.1415728651041954,0.3852176368236542,0.5126771926879883,30.0,10.0,0.0,0.0,Tree cover
MY_W1492305145,0.21158994731842126,0.14951000921350202,0.3839205503463745,0.5089246034622192,29.0,10.0,0.0,0.0,Tree cover
MY_N3902995326,0.42417417821995607,0.35119248985115026,0.2794678211212158,0.3285449147224426,30.0,10.0,0.0,0.0,Tree cover
MY_N3902995325,0.4849387006890766,0.3756825034634504,0.2794678211212158,0.3285449147224426,29.0,50.0,0.0,0.0,Built-up
MY_N8789765101,0.3773546523454982,0.2842639593908629,0.29451483488082886,0.3361574411392212,30.0,10.0,0.0,0.0,Tree cover
MY_W818384093,0.22924477771826451,0.11053003080082136,0.38025930523872375,0.504949688911438,31.0,50.0,0.0,0.0,Built-up
