tower_id,lon,lat,radio,dist_water_m,hand_m,slope_deg,tri,flash_density,dist_power_m,age_years,exposed_pop,elevation_m,state,osm_type,osm_id,operator,tower_source,terrain_source,hand_source,water_power_source
MY_N12152835735,101.7709453,2.9583469,UNKNOWN,106.08166561442093,30.112649918,0.7552382566843021,7.815541409813712,,113.31713509512622,,,87.39224243164062,Selangor,node,12152835735,,OpenStreetMap contributors / ODbL,Copernicus DEM GLO-30 via Microsoft Planetary Computer,ASF Global 30m HAND v1,OpenStreetMap contributors / ODbL
MY_N12145341915,101.7785728,2.9447739,UNKNOWN,597.8971225044837,7.439686775,2.9671815084108286,6.311365575776178,,413.74904642750147,,,32.12269592285156,Selangor,node,12145341915,,OpenStreetMap contributors / ODbL,Copernicus DEM GLO-30 via Microsoft Planetary Computer,ASF Global 30m HAND v1,OpenStreetMap contributors / ODbL
MY_N12141160951,101.7786377,2.9535013,UNKNOWN,41.488081465961415,2.57598114,3.8093624983662457,4.7361972731419,,44.189233660225845,,,36.23017883300781,Selangor,node,12141160951,,OpenStreetMap contributors / ODbL,Copernicus DEM GLO-30 via Microsoft Planetary Computer,ASF Global 30m HAND v1,OpenStreetMap contributors / ODbL
MY_N12241218628,101.7793104,3.0049176,UNKNOWN,188.18698782980357,0.0,0.9465970350885721,3.134816329246944,,1061.823781102635,,,29.254802703857422,Selangor,node,12241218628,,OpenStreetMap contributors / ODbL,Copernicus DEM GLO-30 via Microsoft Planetary Computer,ASF Global 30m HAND v1,OpenStreetMap contributors / ODbL
MY_N12111896153,101.7796474,2.957265,UNKNOWN,65.67291192148569,5.06892395,6.384500045171863,8.357604615350409,,230.80492427919083,,,40.22138214111328,Selangor,node,12111896153,,OpenStreetMap contributors / ODbL,Copernicus DEM GLO-30 via Microsoft Planetary Computer,ASF Global 30m HAND v1,OpenStreetMap contributors / ODbL
MY_N12114343550,101.7797181,2.9581416,UNKNOWN,162.87579482550052,9.751912117,3.1716563969339493,5.075778851686323,,324.4081328763163,,,41.34130096435547,Selangor,node,12114343550,,OpenStreetMap contributors / ODbL,Copernicus DEM GLO-30 via Microsoft Planetary Computer,ASF Global 30m HAND v1,OpenStreetMap contributors / ODbL
MY_N12111896121,101.7799789,2.9653325,UNKNOWN,93.47692507202457,7.131351948,2.409139976092409,4.704123060258998,,71.412100670244,,,27.65183448791504,Selangor,node,12111896121,,OpenStreetMap contributors / ODbL,Copernicus DEM GLO-30 via Microsoft Planetary Computer,ASF Global 30m HAND v1,OpenStreetMap contributors / ODbL
MY_N12147506121,101.7802078,2.9504864,UNKNOWN,264.07405247952926,10.171689987,5.91319067785869,7.620567246967783,,150.15977333346,,,35.69337463378906,Selangor,node,12147506121,,OpenStreetMap contributors / ODbL,Copernicus DEM GLO-30 via Microsoft Planetary Computer,ASF Global 30m HAND v1,OpenStreetMap contributors / ODbL
MY_N12145341985,101.780848,2.9466768,UNKNOWN,331.7078468869665,0.469131529,2.3882603131175584,4.613265567402149,,383.53904341962937,,,25.878902435302734,Selangor,node,12145341985,,OpenStreetMap contributors / ODbL,Copernicus DEM GLO-30 via Microsoft Planetary Computer,ASF Global 30m HAND v1,OpenStreetMap contributors / ODbL
MY_N12143414619,101.781114,2.9647656,LTE,43.487768930557166,2.300341606,2.1336357052474755,2.8253224687129808,,96.70321190604417,,,30.822818756103516,Selangor,node,12143414619,,OpenStreetMap contributors / ODbL,Copernicus DEM GLO-30 via Microsoft Planetary Computer,ASF Global 30m HAND v1,OpenStreetMap contributors / ODbL
MY_N12137013089,101.7819527,3.0092048,UNKNOWN,61.50778733462814,0.22657977,2.171970623798644,3.032440859359353,,929.2775520975777,,,31.83960723876953,Selangor,node,12137013089,,OpenStreetMap contributors / ODbL,Copernicus DEM GLO-30 via Microsoft Planetary Computer,ASF Global 30m HAND v1,OpenStreetMap contributors / ODbL
MY_N12137013090,101.7822129,3.0097028,UNKNOWN,97.18797165223158,2.067744493,1.7057159016160717,2.501996438017032,,882.5977005707027,,,33.290584564208984,Selangor,node,12137013090,,OpenStreetMap contributors / ODbL,Copernicus DEM GLO-30 via Microsoft Planetary Computer,ASF Global 30m HAND v1,OpenStreetMap contributors / ODbL
MY_N12110057369,101.7823906,2.9615166,UNKNOWN,107.85652669148237,7.735699654,2.1473084706536505,3.6606947297277515,,88.531899215135,,,26.991539001464844,Selangor,node,12110057369,,OpenStreetMap contributors / ODbL,Copernicus DEM GLO-30 via Microsoft Planetary Computer,ASF Global 30m HAND v1,OpenStreetMap contributors / ODbL
MY_N12137013091,101.7823982,3.0131663,UNKNOWN,249.00028743179953,1.568606973,0.4552680753619095,1.2059134450161806,,815.3779250726785,,,34.481990814208984,Selangor,node,12137013091,,OpenStreetMap contributors / ODbL,Copernicus DEM GLO-30 via Microsoft Planetary Computer,ASF Global 30m HAND v1,OpenStreetMap contributors / ODbL
MY_N12241218640,101.7824749,3.0052982,UNKNOWN,237.43781455357146,2.337890863,0.3459166787708364,1.3696539594534105,,1119.1562034929902,,,32.756492614746094,Selangor,node,12241218640,,OpenStreetMap contributors / ODbL,Copernicus DEM GLO-30 via Microsoft Planetary Computer,ASF Global 30m HAND v1,OpenStreetMap contributors / ODbL
MY_N12137013092,101.7826846,3.013816,UNKNOWN,327.4233976895376,1.428866982,0.40365341628393536,0.5198602343418309,,794.8949919831722,,,34.5011100769043,Selangor,node,12137013092,,OpenStreetMap contributors / ODbL,Copernicus DEM GLO-30 via Microsoft Planetary Computer,ASF Global 30m HAND v1,OpenStreetMap contributors / ODbL
MY_N12137013099,101.7830911,3.0087497,UNKNOWN,182.86569795800744,2.281916857,0.7128459718990823,1.573321626613985,,836.362872959906,,,34.29318618774414,Selangor,node,12137013099,,OpenStreetMap contributors / ODbL,Copernicus DEM GLO-30 via Microsoft Planetary Computer,ASF Global 30m HAND v1,OpenStreetMap contributors / ODbL
MY_N12137013093,101.7833073,3.0138813,UNKNOWN,369.8789955423394,1.852893472,0.3757841706939744,0.7533430694827864,,728.8320133419694,,,34.845489501953125,Selangor,node,12137013093,,OpenStreetMap contributors / ODbL,Copernicus DEM GLO-30 via Microsoft Planetary Computer,ASF Global 30m HAND v1,OpenStreetMap contributors / ODbL
