osm_type,osm_id,lon,lat,man_made,tower_type,operator,name,radio,mobile_phone,tags_json,tower_id
node,11515263684,114.0432985,4.4723806,mast,communication,,,UNKNOWN,yes,"{""communication:mobile_phone"": ""yes"", ""man_made"": ""mast"", ""tower:type"": ""communication""}",MY_N11515263684
node,11515263700,114.0439391,4.4569909,mast,communication,,,UNKNOWN,yes,"{""communication:mobile_phone"": ""yes"", ""man_made"": ""mast"", ""tower:type"": ""communication""}",MY_N11515263700
node,11637810090,114.045437,4.4766689,mast,communication,,,UNKNOWN,yes,"{""communication:mobile_phone"": ""yes"", ""man_made"": ""mast"", ""tower:type"": ""communication""}",MY_N11637810090
node,12270101746,114.0463921,4.2138306,mast,communication,,,UNKNOWN,,"{""communication:television"": ""yes"", ""man_made"": ""mast"", ""tower:type"": ""communication""}",MY_N12270101746
node,12118428198,114.0465831,4.4663769,mast,communication,,,UNKNOWN,yes,"{""communication:mobile_phone"": ""yes"", ""man_made"": ""mast"", ""tower:type"": ""communication""}",MY_N12118428198
node,12097355159,114.0467839,4.4682819,mast,communication,,,UNKNOWN,yes,"{""communication:mobile_phone"": ""yes"", ""man_made"": ""mast"", ""tower:type"": ""communication""}",MY_N12097355159
node,12000683989,114.0471397,4.4378669,mast,communication,,,UNKNOWN,yes,"{""communication:mobile_phone"": ""yes"", ""man_made"": ""mast"", ""tower:type"": ""communication""}",MY_N12000683989
node,12270101729,114.0474044,4.2140495,mast,communication,,,UNKNOWN,,"{""communication:television"": ""yes"", ""man_made"": ""mast"", ""tower:type"": ""communication""}",MY_N12270101729
node,11998923957,114.0479641,4.4271037,mast,communication,,,UNKNOWN,yes,"{""communication:mobile_phone"": ""yes"", ""man_made"": ""mast"", ""tower:type"": ""communication""}",MY_N11998923957
node,12118412113,114.0493394,4.4541654,mast,communication,,,UNKNOWN,yes,"{""communication:mobile_phone"": ""yes"", ""man_made"": ""mast"", ""tower:type"": ""communication""}",MY_N12118412113
node,12131514589,114.0493617,4.4461796,mast,lighting,,,UNKNOWN,,"{""man_made"": ""mast"", ""tower:type"": ""lighting""}",MY_N12131514589
node,12131514594,114.0493715,4.4456105,mast,lighting,,,UNKNOWN,,"{""man_made"": ""mast"", ""tower:type"": ""lighting""}",MY_N12131514594
node,12131514586,114.0495505,4.447134,mast,lighting,,,UNKNOWN,,"{""man_made"": ""mast"", ""tower:type"": ""lighting""}",MY_N12131514586
node,12131514588,114.0499113,4.4460928,mast,lighting,,,UNKNOWN,,"{""man_made"": ""mast"", ""tower:type"": ""lighting""}",MY_N12131514588
node,12131514585,114.0501532,4.4476375,mast,lighting,,,UNKNOWN,,"{""man_made"": ""mast"", ""tower:type"": ""lighting""}",MY_N12131514585
node,12131514587,114.0502546,4.446791,mast,lighting,,,UNKNOWN,,"{""man_made"": ""mast"", ""tower:type"": ""lighting""}",MY_N12131514587
node,11875484223,114.0550853,4.5582643,mast,communication,,MYY 5G DNB (P1116),NR,,"{""communication:5g"": ""yes"", ""man_made"": ""mast"", ""name"": ""MYY 5G DNB (P1116)"", ""tower:type"": ""communication""}",MY_N11875484223
node,11875484224,114.0741508,4.5564285,mast,communication,,MYY 5G DNB (DQMIR0676),NR,,"{""communication:5g"": ""yes"", ""man_made"": ""mast"", ""name"": ""MYY 5G DNB (DQMIR0676)"", ""tower:type"": ""communication""}",MY_N11875484224
node,12135375724,114.0744328,4.5841393,mast,lighting,,,UNKNOWN,,"{""man_made"": ""mast"", ""tower:type"": ""lighting""}",MY_N12135375724
node,12135375710,114.0746095,4.5824468,mast,lighting,,,UNKNOWN,,"{""man_made"": ""mast"", ""tower:type"": ""lighting""}",MY_N12135375710
node,12135373696,114.0756895,4.5843416,mast,lighting,,,UNKNOWN,,"{""man_made"": ""mast"", ""tower:type"": ""lighting""}",MY_N12135373696
node,12135375711,114.0757075,4.5828503,mast,lighting,,,UNKNOWN,,"{""man_made"": ""mast"", ""tower:type"": ""lighting""}",MY_N12135375711
node,13335389686,114.5074657,3.1583938,tower,communication,,,UNKNOWN,,"{""man_made"": ""tower"", ""tower:type"": ""communication""}",MY_N13335389686
node,2669688740,114.594021,3.8420225,tower,communication,Celcom,Long Bemang Celcom Tower,UNKNOWN,,"{""man_made"": ""tower"", ""name"": ""Long Bemang Celcom Tower"", ""operator"": ""Celcom"", ""tower:type"": ""communication""}",MY_N2669688740
node,13335390186,114.9262624,2.8572152,tower,communication,,,UNKNOWN,,"{""man_made"": ""tower"", ""tower:type"": ""communication""}",MY_N13335390186
node,11875484219,114.9994393,4.7348138,mast,communication,,LMN 5G DNB (DQLBG0551),NR,,"{""communication:5g"": ""yes"", ""man_made"": ""mast"", ""name"": ""LMN 5G DNB (DQLBG0551)"", ""tower:type"": ""communication""}",MY_N11875484219
node,11875484217,115.0007054,4.7731648,tower,communication,,LMN 5G DNB (P826),NR,,"{""communication:5g"": ""yes"", ""man_made"": ""tower"", ""name"": ""LMN 5G DNB (P826)"", ""tower:construction"": ""guyed_lattice"", ""tower:type"": ""communication""}",MY_N11875484217
node,11806207720,115.0028491,4.8052758,tower,communication,,,UNKNOWN,,"{""man_made"": ""tower"", ""tower:type"": ""communication""}",MY_N11806207720
node,3458624509,115.0087746,4.740994,tower,communication,,Bukit Mas Com Tower No.2,UNKNOWN,,"{""man_made"": ""tower"", ""name"": ""Bukit Mas Com Tower No.2"", ""tower:type"": ""communication""}",MY_N3458624509
